symbol,entry_date,exit_date,entry_price,exit_price,position_pct,ret_pct,pnl,equity_after,holding_days
^GSPC,2025-04-15,2025-04-23,5396.6299,5375.8599,0.05,-0.3849,-24.16,99625.85,5
^GSPC,2025-04-23,2025-04-30,5375.8599,5569.0601,0.05,3.5938,174.04,99799.89,5
^GSPC,2025-05-01,2025-05-08,5604.1401,5663.9399,0.1,1.0671,96.51,99896.41,5
^GSPC,2025-05-09,2025-05-16,5659.9102,5958.3799,0.1,5.2734,516.8,100413.21,5
^GSPC,2025-05-19,2025-05-27,5963.6001,5921.54,0.1,-0.7053,-80.86,100332.35,5
^GSPC,2025-06-04,2025-06-11,5970.8101,6022.2402,0.05,0.8614,38.19,100370.54,5
^GSPC,2025-07-28,2025-08-04,6389.77,6329.9399,0.05,-0.9363,-52.01,100318.53,5
^GSPC,2025-09-19,2025-09-26,6664.3599,6643.7002,0.05,-0.31,-20.57,100297.97,5
^GSPC,2025-10-02,2025-10-09,6715.3501,6735.1099,0.05,0.2942,9.74,100307.71,5
^GSPC,2025-10-24,2025-10-31,6791.6899,6840.2002,0.05,0.7143,30.81,100338.52,5
^GSPC,2025-10-31,2025-11-07,6840.2002,6728.7998,0.05,-1.6286,-86.72,100251.79,5
^GSPC,2025-11-07,2025-11-14,6728.7998,6734.1099,0.1,0.0789,-2.11,100249.68,5
^GSPC,2025-11-17,2025-11-24,6672.4102,6705.1201,0.1,0.4902,39.12,100288.8,5
^GSPC,2025-11-24,2025-12-02,6705.1201,6829.3701,0.05,1.8531,87.91,100376.71,5
^GSPC,2025-12-02,2025-12-09,6829.3701,6840.5098,0.05,0.1631,3.17,100379.87,5
^GSPC,2025-12-17,2025-12-24,6721.4302,6932.0498,0.1,3.1336,304.51,100684.38,5
^GSPC,2026-01-15,2026-01-23,6944.4702,6915.6099,0.05,-0.4156,-25.96,100658.43,5
^GSPC,2026-01-28,2026-02-04,6978.0298,6882.7202,0.05,-1.3659,-73.78,100584.65,5
^GSPC,2026-02-04,2026-02-11,6882.7202,6941.4702,0.1,0.8536,75.8,100660.45,5
^GSPC,2026-02-12,2026-02-20,6832.7598,6909.5098,0.1,1.1233,103.0,100763.45,5
^GSPC,2026-02-20,2026-02-27,6909.5098,6878.8799,0.1,-0.4433,-54.74,100708.71,5
^GSPC,2026-02-27,2026-03-06,6878.8799,6740.02,0.1,-2.0186,-213.37,100495.34,5
^GSPC,2026-03-06,2026-03-13,6740.02,6632.1899,0.1,-1.5998,-170.83,100324.52,5
^GSPC,2026-03-13,2026-03-20,6632.1899,6506.48,0.1,-1.8955,-200.19,100124.32,5
^GSPC,2026-03-20,2026-03-27,6506.48,6368.8501,0.1,-2.1153,-221.8,99902.52,5
^GSPC,2026-03-27,2026-04-06,6368.8501,6611.8301,0.1,3.8151,371.15,100273.67,5
^GSPC,2026-04-06,2026-04-13,6611.8301,6886.2402,0.05,4.1503,203.07,100476.74,5
^GSPC,2026-05-26,2026-06-02,7519.1201,7609.7798,0.05,1.2057,55.55,100532.29,5
^GSPC,2026-06-02,2026-06-09,7609.7798,7386.6499,0.05,-2.9321,-152.41,100379.87,5
