date,equity,symbol,daily_ret
2024-09-25,100482.14107623586,^DJI,0.0
2024-09-26,100482.14107623586,^DJI,0.0
2024-09-27,100482.14107623586,^DJI,0.0
2024-09-30,100482.14107623586,^DJI,0.0
2024-10-01,100459.89213468067,^DJI,-0.000221421849861847
2024-10-02,100459.89213468067,^DJI,0.0
2024-10-03,100459.89213468067,^DJI,0.0
2024-10-04,100459.89213468067,^DJI,0.0
2024-10-07,100459.89213468067,^DJI,0.0
2024-10-08,100431.59295385308,^DJI,-0.00028169630910668264
2024-10-09,100431.59295385308,^DJI,0.0
2024-10-10,100431.59295385308,^DJI,0.0
2024-10-11,100431.59295385308,^DJI,0.0
2024-10-14,100431.59295385308,^DJI,0.0
2024-10-15,100431.59295385308,^DJI,0.0
2024-10-16,100431.59295385308,^DJI,0.0
2024-10-17,100519.41482125063,^DJI,0.0008744446325561483
2024-10-18,100519.41482125063,^DJI,0.0
2024-10-21,100519.41482125063,^DJI,0.0
2024-10-22,100519.41482125063,^DJI,0.0
2024-10-23,100519.41482125063,^DJI,0.0
2024-10-24,100519.41482125063,^DJI,0.0
2024-10-25,100519.41482125063,^DJI,0.0
2024-10-28,100519.41482125063,^DJI,0.0
2024-10-29,100519.41482125063,^DJI,0.0
2024-10-30,100519.41482125063,^DJI,0.0
2024-10-31,100441.93093685796,^DJI,-0.0007708350126237606
2024-11-01,100441.93093685796,^DJI,0.0
2024-11-04,100441.93093685796,^DJI,0.0
2024-11-05,100441.93093685796,^DJI,0.0
2024-11-06,100441.93093685796,^DJI,0.0
2024-11-07,100441.93093685796,^DJI,0.0
2024-11-08,100441.93093685796,^DJI,0.0
2024-11-11,100441.93093685796,^DJI,0.0
2024-11-12,100441.93093685796,^DJI,0.0
2024-11-13,100441.93093685796,^DJI,0.0
2024-11-14,100441.93093685796,^DJI,0.0
2024-11-15,100441.93093685796,^DJI,0.0
2024-11-18,100441.93093685796,^DJI,0.0
2024-11-19,100441.93093685796,^DJI,0.0
2024-11-20,100441.93093685796,^DJI,0.0
2024-11-21,100441.93093685796,^DJI,0.0
2024-11-22,100441.93093685796,^DJI,0.0
2024-11-25,100441.93093685796,^DJI,0.0
2024-11-26,100441.93093685796,^DJI,0.0
2024-11-27,100441.93093685796,^DJI,0.0
2024-11-29,100441.93093685796,^DJI,0.0
2024-12-02,100441.93093685796,^DJI,0.0
2024-12-03,100433.42441654975,^DJI,-8.469092767193764e-05
2024-12-04,100433.42441654975,^DJI,0.0
2024-12-05,100433.42441654975,^DJI,0.0
2024-12-06,100433.42441654975,^DJI,0.0
2024-12-09,100433.42441654975,^DJI,0.0
2024-12-10,100320.55556029675,^DJI,-0.0011238176623837859
2024-12-11,100320.55556029675,^DJI,0.0
2024-12-12,100320.55556029675,^DJI,0.0
2024-12-13,100320.55556029675,^DJI,0.0
2024-12-16,100320.55556029675,^DJI,0.0
2024-12-17,100129.61349640785,^DJI,-0.0019033194425855937
2024-12-18,100129.61349640785,^DJI,0.0
2024-12-19,100129.61349640785,^DJI,0.0
2024-12-20,100129.61349640785,^DJI,0.0
2024-12-23,100129.61349640785,^DJI,0.0
2024-12-24,100084.37253004302,^DJI,-0.00045182403871413257
2024-12-26,100084.37253004302,^DJI,0.0
2024-12-27,100084.37253004302,^DJI,0.0
2024-12-30,100084.37253004302,^DJI,0.0
2024-12-31,100084.37253004302,^DJI,0.0
2025-01-02,100084.37253004302,^DJI,0.0
2025-01-03,99937.22346058773,^DJI,-0.0014702502072551082
2025-01-06,99937.22346058773,^DJI,0.0
2025-01-07,99937.22346058773,^DJI,0.0
2025-01-08,99937.22346058773,^DJI,0.0
2025-01-10,99937.22346058773,^DJI,0.0
2025-01-13,99937.22346058773,^DJI,0.0
2025-01-14,99937.22346058773,^DJI,0.0
2025-01-15,99937.22346058773,^DJI,0.0
2025-01-16,99937.22346058773,^DJI,0.0
2025-01-17,99937.22346058773,^DJI,0.0
2025-01-21,99937.22346058773,^DJI,0.0
2025-01-22,99937.22346058773,^DJI,0.0
2025-01-23,99937.22346058773,^DJI,0.0
2025-01-24,99937.22346058773,^DJI,0.0
2025-01-27,99937.22346058773,^DJI,0.0
2025-01-28,100114.39844122042,^DJI,0.0017728627482087589
2025-01-29,100114.39844122042,^DJI,0.0
2025-01-30,100114.39844122042,^DJI,0.0
2025-01-31,100114.39844122042,^DJI,0.0
2025-02-03,100114.39844122042,^DJI,0.0
2025-02-04,100114.39844122042,^DJI,0.0
2025-02-05,100114.39844122042,^DJI,0.0
2025-02-06,100114.39844122042,^DJI,0.0
2025-02-07,100114.39844122042,^DJI,0.0
2025-02-10,100114.39844122042,^DJI,0.0
2025-02-11,100114.39844122042,^DJI,0.0
2025-02-12,100114.39844122042,^DJI,0.0
2025-02-13,100114.39844122042,^DJI,0.0
2025-02-14,100114.39844122042,^DJI,0.0
2025-02-18,100123.7319971658,^DJI,9.322890703744591e-05
2025-02-19,100123.7319971658,^DJI,0.0
2025-02-20,100123.7319971658,^DJI,0.0
