symbol,scenario,n_features,fold,split,n_rows,mae,rmse,r2
TSLA,PRICE_ONLY,5,15,test,125,0.016921212005473786,0.02337408981505305,-0.6108728244682775
TSLA,PRICE+TECH,33,15,test,125,0.014179737888463459,0.019680794319905482,-0.1420288712717277
TSLA,PRICE+TECH+LAG,38,15,test,125,0.014131491461438637,0.019627298238677433,-0.1358288129087215
TSLA,ALL_NO_MACRO,47,15,test,125,0.014347691847872731,0.019659814944767613,-0.13959540423186212
TSLA,ALL_NO_REGIME,51,15,test,125,0.014190320019006417,0.019345642566785438,-0.10346396896919297
TSLA,ALL_FULL,60,15,test,125,0.01432546350237821,0.019344904693410093,-0.10337979485579352
TSLA,PRICE_ONLY,5,16,test,125,0.01971448060846514,0.026050954825287277,-0.6998703878723649
TSLA,PRICE+TECH,33,16,test,125,0.015642436327676854,0.020473316544213492,-0.04989270805174817
TSLA,PRICE+TECH+LAG,38,16,test,125,0.015891282849110577,0.020679178979085784,-0.07111253307306509
TSLA,ALL_NO_MACRO,47,16,test,125,0.015799562257196524,0.020533798039868618,-0.05610497702267403
TSLA,ALL_NO_REGIME,51,16,test,125,0.015794351159057963,0.020465791441405493,-0.04912105988242388
